Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Masayuki Matsubara,M,Japan,JPN,1960 Summer,1960,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,1,0,Individual
Takashi Ono,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,1,0,0,Individual
Muhammad Bashir,M,Pakistan,PAK,1960 Summer,1960,Roma,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,0,1,Individual
Anwar Ahmed Khan,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Takashi Ono,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Parallel Bars,0,0,1,Individual
Govind Rao Sawant,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Shuji Tsurumi,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,0,0,1,Individual
Takashi Ono,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0,Individual
Katsuki Ishihara,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
Takashi Ono,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Rings,0,0,1,Individual
Takashi Mitsukuri,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Hiroshi Ishii,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,1,0,Team
Takashi Ono,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Abdul Wahid Aziz,M,Iraq,IRQ,1960 Summer,1960,Roma,Weightlifting,Weightlifting Men's Lightweight,0,0,1,Individual
Abdul Waheed Khan,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Akio Kaminaga,M,Japan,JPN,1964 Summer,1964,Tokyo,Judo,Judo Men's Open Class,0,1,0,Individual
Shuji Tsurumi,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,0,1,0,Individual
Haruhiro Yamashita (-Matsuda),M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,1,0,0,Individual
Sata Isobe (-Maruyama),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Yojiro Uetake,M,Japan,JPN,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",1,0,0,Individual
Ayano Shibuki (-Yaegashi),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Kim Ui-Tae,M,South Korea,KOR,1964 Summer,1964,Tokyo,Judo,Judo Men's Middleweight,0,0,1,Individual
Kokichi Tsuburaya,M,Japan,JPN,1964 Summer,1964,Tokyo,Athletics,Athletics Men's Marathon,0,0,1,Individual
Haruhiro Yamashita (-Matsuda),M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Tsuyoshi Yamanaka,M,Japan,JPN,1964 Summer,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Isao Inokuma,M,Japan,JPN,1964 Summer,1964,Tokyo,Judo,Judo Men's Heavyweight,1,0,0,Individual
Hiroko Tsuji (-Kato),F,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Setsuko Sasaki,F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Yutaka Demachi,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Jang Chang-Seon,M,South Korea,KOR,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,1,0,Individual
Hari Pal Kaushik,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Takao Sakurai,M,Japan,JPN,1964 Summer,1964,Tokyo,Boxing,Boxing Men's Bantamweight,1,0,0,Individual
Toshiko Shirasu-Aihara,F,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Naohiro Ikeda (-Nakano),M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Anwar Ahmed Khan,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Yukio Endo,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,1,0,0,Individual
Anthony N. Villanueva,M,Philippines,PHI,1964 Summer,1964,Tokyo,Boxing,Boxing Men's Featherweight,0,1,0,Individual
Masae Kasai (-Nakamura),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Yukio Endo,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,0,1,0,Individual
Yukio Endo,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,1,0,0,Individual
Yasutaka Sato,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Munir Ahmed Dar,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Mohammad Ali Sanatkaran,M,Iran,IRI,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,0,1,Individual
Kunihiro Iwasaki,M,Japan,JPN,1964 Summer,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Toshio Shoji,M,Japan,JPN,1964 Summer,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Yoko Shinozaki (-Tamura),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Yukio Endo,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Shuji Tsurumi,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,0,1,0,Individual
"Joginder ""Gindi"" Singh",M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Shuji Tsurumi,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0,Individual
Jagjit Singh Kular,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Yoshiko Matsumura (-Kanda),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Yuriko Handa,F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Nawaz Khizar Bajwa,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
