Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Yukio Endo,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,Individual,0,1,0
Yukio Endo,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,Individual,1,0,0
Yasutaka Sato,M,Japan,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,Team,0,0,1
Munir Ahmed Dar,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Mohammad Ali Sanatkaran,M,Iran,1964,Tokyo,Wrestling,"Wrestling Men's Welterweight, Freestyle",Individual,0,0,1
Kunihiro Iwasaki,M,Japan,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
Toshio Shoji,M,Japan,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
Yoko Shinozaki (-Tamura),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Yukio Endo,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Shuji Tsurumi,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,1,0
"Joginder ""Gindi"" Singh",M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Shuji Tsurumi,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,Individual,0,1,0
Jagjit Singh Kular,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Yoshiko Matsumura (-Kanda),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Yuriko Handa,F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Nawaz Khizar Bajwa,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Masayuki Minami,M,Japan,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,Team,0,0,1
Khawaja Zaka-ud-Din,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Takehide Nakatani,M,Japan,1964,Tokyo,Judo,Judo Men's Lightweight,Individual,1,0,0
Kiyoko Ono (Oizumi-),F,Japan,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Yoshikatsu Yoshida,M,Japan,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,1,0,0
Tariq Aziz,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Khurshid Azam,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Takashi Mitsukuri,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Shuji Tsurumi,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
